variable,meanImp,medianImp,minImp,maxImp,normHits,decision
partyid,31.223745186582644,31.252268148419127,28.4213658845237,34.00986513816277,1,Confirmed
polviews,21.8804977583141,21.94997738911759,20.040681705340887,23.69909803888885,1,Confirmed
eqwlth,20.625052853596326,20.590983954437757,18.431669727632435,22.907384214180503,1,Confirmed
confed_r,15.978384698744918,16.02658696306211,13.757627637492025,17.982942630659817,1,Confirmed
racdif1,15.310312825601342,15.265001946680599,13.95183538088813,16.95628390683984,1,Confirmed
wrkwayup,14.60130252237078,14.612772665767226,13.153313211997352,16.029748944262042,1,Confirmed
conpress_r,14.329842870982757,14.322330796515981,12.744166695027742,16.079555919006356,1,Confirmed
white,10.595196415783962,10.615791329092188,8.799821795749999,12.246926781531442,1,Confirmed
work_gap,8.051931065953452,8.029696405759815,5.641434260484497,9.869687084722667,1,Confirmed
racdif3,6.326483205864097,6.346499750486386,3.9624254204669054,8.067484112828952,1,Confirmed
racdif4,5.538932301116458,5.408100680938922,3.7005851609772793,7.22968511003715,0.98989898989899,Confirmed
explicit_racism,4.175941970925731,4.1529824464449545,1.9063141148133567,6.761113049604222,0.9191919191919192,Confirmed
auth_index,3.872801106456924,3.861596154918815,0.9935685336452851,6.0032708625443,0.8282828282828283,Confirmed
thnkself,3.7589731020451835,3.684516772752347,0.305808138227377,6.160774710235047,0.797979797979798,Confirmed
coneduc_r,3.393534468848178,3.286050466035888,0.4362302829561344,6.5308314377394705,0.7171717171717171,Confirmed
fund,3.1786867646738246,3.166262316980448,0.8481684748776885,5.39938627653009,0.7373737373737373,Confirmed
realinc,2.896247080884448,2.8417852969444413,1.339016775729005,5.22354582431451,0.6161616161616161,Tentative
intl_gap,2.269851743624287,2.316388164191988,-0.5796325603959218,4.5880320786872435,0.47474747474747475,Tentative
obey,2.199849812616891,2.281868285665916,0.0858679701329861,4.5355171083583965,0.40404040404040403,Tentative
symbolic_racism,2.141673978138757,2.0611675047561433,-1.0802015182820501,4.9891169396473245,0.3939393939393939,Tentative
consci_r,2.032736428614287,2.045037767187252,-0.5852394262847838,4.243443764946346,0.36363636363636365,Tentative
educ,1.264255550264,1.2728534592035654,-1.3345328358332165,2.8781327990949386,0.10101010101010101,Rejected
region,1.0628894844815704,1.0004823468115451,-1.11063479783141,3.2797415064980244,0.010101010101010102,Rejected
age,0.8142540212195839,0.5458723679146694,-0.41983159617864413,2.5070512074147833,0.010101010101010102,Rejected
attend,0.7963270616730145,0.9728793780694842,-1.1692596598987224,3.6893773291297842,0.020202020202020204,Rejected
racdif2,0.6391505690518375,0.8285102735371297,-1.8935418097357923,1.8915689318625217,0.010101010101010102,Rejected
finrela,0.628070750183212,0.5531969576116618,-1.0910660539456971,2.623857405086422,0,Rejected
trust_r,0.5814032944022719,0.6043005637623557,-1.2666901537828936,3.341043098374582,0.020202020202020204,Rejected
satfin,0.459690596338881,0.45895813272154923,-0.6768637935648055,2.0800655450316157,0,Rejected
female,0.36157760589857435,0.2641274954319585,-1.3805621254297837,1.7800455371453026,0.010101010101010102,Rejected
fair_r,0.158035669874321,0.1469244366557207,-1.2766993082501548,1.203879127456175,0,Rejected
helpful_r,-0.7470321517372004,-0.6369714822238778,-2.258781041457621,0.9241603227202915,0,Rejected
