variable,meanImp,medianImp,minImp,maxImp,normHits,decision
eqwlth,15.829123952921368,16.34435956281964,11.883605433124732,18.89558469917754,1,Confirmed
eqwlth_2,15.807325289877532,16.311007213481094,11.909392171695487,18.31589169978171,1,Confirmed
conpress_r,13.04248414100862,13.313479139299957,9.57421813873646,15.611318730425507,1,Confirmed
conpress,13.01026730797191,13.261834219794308,10.363250323657121,14.67174311171889,1,Confirmed
conpress_2,12.675876530716364,12.984024850637335,9.841892325584224,14.098825877981342,1,Confirmed
confed_r,12.03938069432153,12.272568364388835,9.521262774797759,13.875652348720163,1,Confirmed
racdif1_2,11.992521897220078,12.208892325633764,9.057024077939277,13.615096476244847,1,Confirmed
confed,11.9517499775589,12.212899184290034,8.908141512198322,13.63056264411362,1,Confirmed
confed_2,11.924186963007797,12.138815683858603,9.258526378817555,13.515314243509977,1,Confirmed
racdif1,11.674073719810275,11.897160492796694,8.768302700885783,13.275748880337197,1,Confirmed
racdif1_r,11.612087874057595,11.780834330695223,8.480351007904789,13.42771343513099,1,Confirmed
wrkwayup_2,11.506140753287083,11.68859628154696,9.164117707892725,12.799720376608654,1,Confirmed
wrkwayup_r,11.39572286078984,11.587561139130415,8.922512634047747,12.98471251355134,1,Confirmed
wrkwayup,11.36503192463055,11.425694331511796,9.097988162799487,13.074776944358042,1,Confirmed
white,10.432981466578113,10.607360746436502,6.98064248291302,12.03601567977168,1,Confirmed
race,10.251408909766159,10.572784677629151,7.0332739488579925,12.42378785955013,1,Confirmed
courts,9.35680442473309,9.447354973204206,6.93851512864742,10.818535641737897,1,Confirmed
courts_2,9.182627810639975,9.275131792308038,7.4102799486633435,10.602516689249114,1,Confirmed
wrygetsick_2,8.087688156972717,8.185123824608157,5.6666120957337345,10.64853129030173,1,Confirmed
cappun,8.063035603805714,8.089295121743174,6.252650542573867,10.105034333767593,1,Confirmed
natenrgy,7.71242629210093,7.755029836649296,6.282670276909129,9.263643572186036,1,Confirmed
cappun_2,7.686802690093331,7.753522796148165,5.387824301568973,8.894039468046948,1,Confirmed
abany_2,7.636273900384385,7.759496138595625,4.829876188206651,9.164582048680044,1,Confirmed
affrmact_2,7.476100781084043,7.542705792612977,5.675192039071698,9.336198674001395,1,Confirmed
work_gap,7.372740661876832,7.470934814788098,5.094928899899348,8.835352478283614,1,Confirmed
natenrgy_2,7.37239569508572,7.385733633906878,4.930075561640867,8.93635270381396,1,Confirmed
hhrace_1b,7.083601906843093,7.236061545005202,4.588719136833044,9.075707418070618,1,Confirmed
affrmact,7.0603818468104755,7.036757631768538,5.643968604221433,8.89124268132399,1,Confirmed
natenviy_2,6.906400529587666,6.859422646595412,5.424125546662536,8.247150992802197,1,Confirmed
marhomo_2,6.899947328899798,7.000009241214614,4.9328952283018195,8.11434832128807,1,Confirmed
abpoor_2,6.863000887754884,6.931055671056787,5.248109899527171,8.535242575296886,1,Confirmed
absingle_2,6.807056398902924,6.8399811938954045,4.798773551646448,8.571254255963488,1,Confirmed
abany,6.775978410861428,6.813878055200874,5.517564984668215,8.210650304267716,1,Confirmed
abnomore_2,6.7753332592685664,6.8310353435656195,4.896557584496306,8.306285941255675,1,Confirmed
natarmsy_2,6.390441233835443,6.45285681888411,4.177770777222857,8.77746100649559,1,Confirmed
natsci,6.13387801058163,6.104323786210987,4.318891799528211,8.015213085122507,1,Confirmed
fefam_2,6.046665759184954,6.126826214088742,4.236692860487143,8.095650016006775,1,Confirmed
racecen1_1b,6.040676351694461,6.0360568005767785,4.201774525191659,8.281961402702516,1,Confirmed
abpoor,5.973125677263056,5.889558472974004,4.172467798382511,7.338918084596499,1,Confirmed
racdif3_2,5.732354850251099,5.704804917846088,4.331576805990363,7.688334429806851,1,Confirmed
natcrimy_2,5.729213300192164,5.754448657139511,3.530592128979839,7.666611518788355,1,Confirmed
discaff_2,5.717988186280294,5.642399454873605,4.009261085723633,7.571039315416567,1,Confirmed
abnomore,5.697933408808837,5.768995116696601,4.364558038213171,7.075992019834449,1,Confirmed
absingle,5.60454250220882,5.572495177518897,4.075523784683918,6.944717719877864,1,Confirmed
racdif3,5.486343779507264,5.508222985889812,3.9153163352145848,7.208411628964573,1,Confirmed
