variable,importance
conpress,0.014538195559059958
conpress_2,0.013588232172477649
conpress_r,0.013290443316776845
eqwlth,0.01014055490546216
eqwlth_2,0.009939967610568885
racdif1_2,0.008864973449617074
racdif1_r,0.008318567586648928
wrkwayup_2,0.007483185264673754
racdif1,0.0067294930945124825
confed_r,0.006703534384263909
confed,0.006370549971738892
wrkwayup_r,0.006204453143636696
wrkwayup,0.0060584424980135
confed_2,0.0060267493992440255
courts,0.003778236810036095
white,0.0036847931333612266
courts_2,0.003674982555556352
cappun,0.0035744662539389507
natenrgy,0.0034733449007327624
natenrgy_2,0.003178933294071124
cappun_2,0.003075186935280659
race,0.0030182250850272793
affrmact_2,0.002652604461083969
affrmact,0.0023861109770722216
wrygetsick_2,0.0022343165365178008
natenviy_2,0.0020763433497452987
abany_2,0.002054685545444097
abany,0.0019229870908538534
abnomore,0.0018043522707649608
abpoor_2,0.0017984779863968506
abnomore_2,0.0016669373439088
abpoor,0.0015534072631349376
marhomo_2,0.0013853196260988079
absingle,0.0013670741095025355
hhrace_1b,0.001276568702426511
natsci,0.0012445658943226392
abdefect_2,0.0011638797214863143
natsci_2,0.0011266434826931546
work_gap,0.0011054142947360796
discaff_2,0.0010962668869594352
natarmsy_2,0.0010936056691999373
fefam_2,0.0010894861320635226
absingle_2,0.0010879437272665238
racdif3_r,0.0010305814371372097
abdefect,9.671835487034412e-4
divlaw,9.216934195901499e-4
natchld,9.070986929613897e-4
racdif3_2,8.845846151623269e-4
contv_2,8.631148992688812e-4
racdif4_r,8.419234242680219e-4
racdif3,7.915696724194668e-4
contv,7.57586364212109e-4
homosex_2,7.177828504538082e-4
racdif4,7.175330757096453e-4
natcrimy_2,6.999533171555668e-4
divlaw_2,6.668609399508474e-4
abhlth_2,6.497622640407475e-4
abhlth,6.460356026635344e-4
abrape,6.450543160781687e-4
natchld_2,6.449242415959541e-4
age,6.233062339252738e-4
homosex,6.202912651324935e-4
abrape_2,6.127657300478805e-4
racdif4_2,5.942566974869141e-4
racecen1_1b,5.792032867695924e-4
ballot_2,5.557990394385552e-4
age_2,5.547398780190628e-4
conarmy_2,5.471094084364023e-4
natmass_2,5.226609608157015e-4
marblk_2,5.093520169297089e-4
race_1b,5.06622154741959e-4
cohort_2,5.020513499355671e-4
cappun_1b,5.007354960535087e-4
conarmy,4.69624804353426e-4
id_2,4.63734340733967e-4
version_2,4.576806902431532e-4
abmoral_1b,4.492747914109415e-4
yearid,4.3325654683696e-4
pillok,4.2311244972394e-4
maeduc,4.1468016113901674e-4
size_1b,4.0124787798094454e-4
prestg10,3.5471642381935633e-4
gunlaw_2,3.499653449228423e-4
natfarey_2,3.4527510595375177e-4
bible,3.446355263301638e-4
parborn,3.4260307559771686e-4
posslqy_2,2.961545706100138e-4
thnkself,2.931337585902607e-4
sprtlrgr_2,2.871616897297066e-4
natmass,2.846780216165181e-4
consci,2.717658794575809e-4
lonely1_2,2.702035903903358e-4
realinc,2.669937595895262e-4
granborn,2.653224413424006e-4
premarsx_2,2.6429145883126524e-4
educ_2,0.00026155848689140827
pillok_2,2.5386422894295804e-4
dwelling_1b,2.4535475693387586e-4
marital_2,2.438479637787525e-4
workwhts,2.4350162923439023e-4
attend,2.4091064366791936e-4
gunlaw,2.3653679033676177e-4
marasian_2,2.2261084073284132e-4
old1_1b,2.218634292763163e-4
coneduc_2,2.206366651667576e-4
workblks_2,2.2005873952993515e-4
reliten_1b,2.1911507296464526e-4
prestg10_2,2.1862162622849013e-4
suicide1,2.161019447471475e-4
educ,2.0882315660516936e-4
shotgun,2.0848676712605408e-4
explicit_racism,2.0460728231875948e-4
fepol_2,2.0415238596265518e-4
nataidy_2,2.018663753678983e-4
vstrat_2,1.999364211934449e-4
xnorcsiz_1b,1.9976617513764406e-4
marhisp_2,1.9764904759014612e-4
sei10_2,1.9721228265431979e-4
realinc_2,1.9704220418399065e-4
notsmart_2,1.9619076804480918e-4
grass_2,1.95874654909321e-4
attend_2,1.9431984533757452e-4
fepol,1.935976160758569e-4
god_2,1.9188326591553762e-4
born,1.8718659371571322e-4
yearid_anes,1.87133221719615e-4
sexeduc_2,1.866273522786891e-4
thnkself_2,1.8492355055658448e-4
abinspay_1b,1.8458111320933268e-4
colcom,1.812683751717391e-4
bible_1b,1.790303977758708e-4
hunt1_2,1.7590298459863084e-4
premarsx,1.7005068506346243e-4
racopen,1.6816058304682736e-4
lonely2_2,1.6236144408809494e-4
sei10inc_1b,1.6003995549558337e-4
wlthwhts,1.5622403262178863e-4
sexeduc,1.562142741286019e-4
