variable,mean_importance,sd_importance,pct_positive
conpress_r,0.04753660415135705,0.00594120331627283,1
eqwlth,0.04716413664627954,0.005254297039123289,1
racdif1,0.042280918029727485,0.005380068927753407,1
wrkwayup,0.03716688028140223,0.005032986241917384,1
confed_r,0.03477956146973755,0.004460046681401222,1
courts,0.021104353195369657,0.0036773275162491144,1
affrmact,0.020719945693692232,0.003269842009201807,1
cappun,0.020333827601258164,0.003176298970805293,1
natsci,0.019837433324207922,0.0037850487085293637,1
white,0.018580467753463597,0.003548592052309224,1
abany,0.015547679639723129,0.0027036396915723036,1
racdif3,0.01521403300020166,0.0027779760885827615,1
abpoor,0.013820981910335057,0.002786824823526702,1
age,0.011045489446678098,0.001220681966298031,1
realinc,0.009916711885298315,0.0013156803868950428,1
work_gap,0.009551222066293915,0.0019262245042326923,1
racdif4,0.009449579604100087,0.0023044770328548222,1
contv,0.00938642770316208,0.0021351816497181112,1
bible,0.008534700455725786,0.001441741272509209,1
conarmy,0.008438402480056614,0.0017981290596036908,1
homosex,0.008382483208751576,0.001991168374294906,1
pray,0.007992012805902147,0.0011671174974034082,1
attend,0.007803242716099822,0.0013617583168450142,1
educ,0.007671314350051982,0.0012694725030744417,1
abdefect,0.007191079137219327,0.0015396718856434323,1
gunlaw,0.007166786243115414,0.0017265016031475318,1
sibs,0.006967560419071085,8.502790189576289e-4,1
region,0.006520872295537466,6.705030936269699e-4,1
marital,0.006390619223195949,0.0015156847720570693,1
granborn,0.006221266928424612,0.001381959378324559,1
reliten,0.006183542980697718,0.0013023449059729557,1
news,0.005971083184091584,0.0014249314118473166,1
premarsx,0.005775801924763955,0.0014844106048698183,1
tvhours,0.00561611961219402,8.191411935401364e-4,1
abrape,0.005467317251038265,0.001712686856230509,1
auth_index,0.005451188833700272,7.883610459556453e-4,1
childs,0.005320064714546637,7.472315726328414e-4,1
spanking,0.00525449775672092,0.0010980511888418506,1
symbolic_racism,0.00519388070718966,9.671318296404293e-4,1
explicit_racism,0.005135494313732723,0.0011811451769595147,1
fund,0.004890050189381027,0.0013403131117361597,1
owngun,0.004616517243769236,0.0013558170410044989,1
wrkstat,0.004528663973299925,4.6662427588358704e-4,1
socbar,0.004451313213728032,5.781565439968764e-4,1
consci_r,0.004418877071975165,0.0014440533714137282,1
thnkself,0.004212623360163346,5.975656941729684e-4,1
socrel,0.004183064643574403,5.608705958860426e-4,1
socfrend,0.00413628049547331,4.987402654154529e-4,1
finrela,0.003854312773139772,4.239618474752001e-4,1
obey,0.003842867029059189,8.12488763410413e-4,1
conclerg,0.0037965186523924344,9.00862247312138e-4,1
happy,0.0036932856931083603,7.390313009160319e-4,1
workhard,0.0034719691542994665,6.62036350612621e-4,1
grass,0.0034627388137216395,0.0012486227754441737,1
spkrac,0.003460991788948531,0.0010112088953585594,1
satfin,0.003353630353579838,3.050732998470333e-4,1
class,0.0032681128265262534,3.4790488605050094e-4,1
satjob,0.003098948040544577,6.529552805534736e-4,1
hunt,0.0030930977108286194,9.895552428560775e-4,1
coneduc_r,0.003065216117445299,6.453489392769307e-4,1
conlabor,0.003020730647444259,8.511059699641473e-4,1
conlegis,0.002966326470402359,7.942664498137713e-4,1
fepol,0.0028571893269013875,0.0010668879490550523,1
suicide1,0.0027310478518684867,8.472166141058436e-4,1
health,0.0026565052257392437,4.1250785582333326e-4,1
xmarsex,0.002594116906891745,6.802147635924766e-4,1
conjudge,0.0024129422159760733,4.5983507245022536e-4,1
intl_gap,0.0024078032575990034,4.34339308794326e-4,1
conmedic,0.0022413927693145947,3.82234589621357e-4,1
female,0.0021384116425405613,2.889188529932136e-4,1
life,0.002070291622473834,3.9653961120147214e-4,1
conbus,0.0020289369871535783,4.778137792064608e-4,1
letdie1,0.002020065776107858,6.320380838535473e-4,1
fear,0.0019987967660527028,5.714213176453284e-4,1
born,0.0019215010252256258,7.085073371663813e-4,1
fair_r,0.0018363402943356413,3.925138629319487e-4,1
getahead,0.0017781377692276691,5.398631235632429e-4,1
helpful_r,0.001708676332896264,3.2942746938460836e-4,1
postlife,0.0016746385887646397,3.768421499659372e-4,1
trust_r,0.0016460586991230931,2.525675264005777e-4,1
hapmar,0.0016402529624322461,2.7491482902342566e-4,1
spkcom,0.0015221926177001832,3.730277891163544e-4,1
divorce,0.0013924528409348523,2.9983039222812455e-4,1
spkath,0.0013653818883909942,3.319999530547109e-4,1
spkmil,0.001298729851136047,2.4133882529513227e-4,1
wrkslf,0.0010073228161854562,2.7993233187167184e-4,1
union,8.949505246380908e-4,2.3697132712535409e-4,1
racdif2,5.318166888299681e-4,2.0391892546480097e-4,1
spkhomo,4.8010768909703927e-4,1.3451804316660492e-4,1
